date,USARECM,USARECDM,USARECDP,RECPROUSM156N,recess1,recess2,recess3,recess4,recess5,Adj Close,Value,T10Y2Y,BAMLCC1A013YTRIV,stock returns,bond returns
1977-09-30,0.0,0.0,0.0,0.02,0.0,5.0,10.0,20.0,20.0,96.52999877929688,4.68,0.53,116.82,-0.0024800854820193606,0.00274678111587977
1977-10-31,0.0,0.0,0.0,0.04,0.0,5.0,10.0,20.0,20.0,92.33999633789062,4.86,0.32,117.12,-0.04340622080588791,0.00256805341551114
1977-11-30,0.0,0.0,0.0,0.06,0.0,5.0,10.0,20.0,20.0,94.83000183105469,4.89,0.4,117.9,0.026965622611166577,0.00665983606557378
1977-12-30,0.0,0.0,0.0,0.8,0.0,10.0,10.0,17.5,20.0,95.0999984741211,4.89,0.44,117.9,0.0028471647986195486,0.0
1978-01-31,0.0,0.0,0.0,9.16,0.0,10.0,10.0,17.5,20.0,89.25,5.22,0.41,118.98,-0.0615141805255971,0.009160305343511435
1978-02-28,0.0,0.0,0.0,0.1,0.0,10.0,10.0,17.5,20.0,87.04000091552734,5.35,0.43,119.61,-0.024761894503895307,0.005295007564296482
1978-03-31,0.0,0.0,0.0,0.0,0.0,5.0,10.0,12.5,17.5,89.20999908447266,5.4,0.44,120.31,0.024931044877300773,0.005852353482150346
1978-04-28,0.0,0.0,0.0,0.0,0.0,5.0,10.0,12.5,17.5,96.83000183105469,5.4,0.27,120.31,0.08541646479972134,0.0
1978-05-31,0.0,0.0,0.0,0.16,0.0,5.0,10.0,12.5,17.5,97.23999786376953,5.0,0.29,120.89,0.004234183878568848,0.004820879394896503
1978-06-30,0.0,0.0,0.0,0.06,0.0,5.0,10.0,16.5,22.5,95.52999877929688,5.03,0.09,121.28,-0.017585346791845022,0.003226073289767562
1978-07-31,0.0,0.0,0.0,0.3,0.0,5.0,10.0,16.5,22.5,100.68000030517578,5.09,0.08,121.99,0.05390978322711972,0.005854221635883853
1978-08-31,0.0,0.0,0.0,0.1,0.0,5.0,10.0,16.5,22.5,103.29000091552734,4.8,-0.1,122.95,0.025923724696466723,0.00786949749979513
1978-09-29,0.0,0.0,0.0,0.16,1.0,10.0,20.0,20.0,25.0,102.54000091552734,4.8,-0.22,122.95,-0.0072611094331712246,0.0
1978-10-31,0.0,0.0,0.0,0.04,1.0,10.0,20.0,20.0,25.0,93.1500015258789,5.01,-0.53,122.83,-0.09157401312473108,-0.0009760065067100817
